"ID","Longitude","Latitude","ServiceTime (min)"
79174,4.73983,49.85658,2
79175,4.74012,49.85667,2
79176,4.7404,49.85677,2
79177,4.74069,49.85687,2
79178,4.74097,49.85698,2
79179,4.74097,49.85698,2
79180,4.74026,49.85621,2
79181,4.74039,49.85621,2
79182,4.74052,49.85622,2
79183,4.74052,49.85622,2
79184,4.74072,49.85694,2
79185,4.74014,49.85621,2
79186,4.74001,49.8562,2
79187,4.73988,49.8562,2
79188,4.73988,49.8562,2
79189,4.74065,49.85623,2
79190,4.74214,49.85184,2
79191,4.74078,49.85625,2
79192,4.7385,49.85608,2
79193,4.7382,49.85607,2
79194,4.73796,49.85588,2
79195,4.734002,49.860451,2
79196,4.73796,49.85588,2
79197,4.73834,49.856,2
79198,4.73975,49.85619,2
79199,4.7381,49.85581,2
79200,4.7381,49.85581,2
79201,4.73791,49.85566,2
79202,4.73776,49.85579,2
79203,4.73747,49.8557,2
79204,4.73717,49.85562,2
79205,4.73659,49.85545,2
79206,4.73659,49.85545,2
79207,4.73659,49.85545,2
79208,4.73659,49.85545,2
79209,4.73285,49.85485,2
79210,4.73285,49.85485,2
79211,4.7363,49.85537,2
79212,4.73601,49.85528,2
79213,4.73663,49.85534,2
79214,4.73572,49.8552,2
79215,4.73543,49.85511,2
79216,4.73543,49.85511,2
79217,4.73424,49.85495,2
79218,4.73424,49.85495,2
79219,4.74271,49.87207,2
79220,4.74263,49.87219,2
79221,4.74286,49.87289,2
79222,4.74286,49.87289,2
79223,4.74257,49.87124,2
79224,4.74263,49.87219,2
79225,4.74263,49.87219,2
79226,4.74263,49.87219,2
79227,4.74263,49.87219,2
79228,4.742591,49.873117,2
79229,4.74263,49.87219,2
79230,4.74263,49.87219,2
79231,4.73936,49.85608,2
79232,4.74263,49.87219,2
79233,4.74136,49.85625,2
79234,4.742587,49.873028,2
79235,4.74263,49.87219,2
79236,4.74364,49.85853,2
79237,4.74299,49.8557,2
79238,4.74275,49.87411,2
79239,4.74275,49.87403,2
79240,4.74826,49.85918,2
79241,4.74274,49.87395,2
79242,4.74274,49.87387,2
79243,4.74202,49.85351,2
79244,4.74273,49.87379,2
79245,4.73887,49.85639,2
79246,4.74273,49.87371,2
79247,4.73852,49.85619,2
79248,4.742557,49.872687,2
79249,4.73893,49.85608,2
79250,4.741424,49.874012,2
79251,4.742234,49.872325,2
79252,4.7427,49.873,2
79253,4.74271,49.87332,2
79254,4.742529,49.872382,2
79255,4.74271,49.87324,2
79256,4.742512,49.872319,2
79257,4.742303,49.872009,2
79258,4.74267,49.87284,2
79259,4.7426,49.87245,2
79260,4.74271,49.87308,2
79261,4.741968,49.871692,2
79262,4.74259,49.87237,2
79263,4.7424,49.87127,2
